ISO 3166-2コード,所在都道府県,避難所 (公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,22,1010,2188,105,NA
JP-02,青森県,0,9,791,409,34,NA
JP-03,岩手県,105,16,3232,880,27,NA
JP-04,宮城県,4744,1294,NA,NA,16,NA
JP-05,秋田県,6,1037,887,601,22,NA
JP-06,山形県,118,508,774,10013,35,NA
JP-07,福島県,780,5903,NA,NA,30,NA
JP-08,茨城県,36,128,594,1719,40,NA
JP-09,栃木県,2,241,984,1545,25,NA
JP-10,群馬県,0,282,353,1566,32,NA
JP-11,埼玉県,869,15,0,3668,56,NA
JP-12,千葉県,NA,NA,3618,NA,48,NA
JP-13,東京都,17,337,2319,5882,50,NA
JP-14,神奈川県,8,0,0,1490,2,※
JP-15,新潟県,113,660,1386,4382,31,※
JP-16,富山県,0,0,108,393,13,NA
JP-17,石川県,0,2,155,392,13,NA
JP-18,福井県,0,16,110,381,16,NA
JP-19,山梨県,0,25,341,534,22,NA
JP-20,長野県,21,43,266,888,50,NA
JP-21,岐阜県,0,0,181,209,28,NA
JP-22,静岡県,0,243,411,809,33,NA
JP-23,愛知県,0,0,253,1020,45,NA
JP-24,三重県,0,0,43,156,13,NA
JP-25,滋賀県,0,0,277,144,16,NA
JP-26,京都府,0,NA,48,749,13,NA
JP-27,大阪府,NA,NA,NA,1060,27,NA
JP-28,兵庫県,0,0,428,612,27,NA
JP-29,奈良県,0,0,63,83,14,NA
JP-30,和歌山県,0,0,52,52,13,NA
JP-31,鳥取県,0,0,69,97,14,NA
JP-32,島根県,0,0,26,130,10,NA
JP-33,岡山県,0,0,172,246,17,NA
JP-34,広島県,0,0,154,295,15,NA
JP-35,山口県,0,0,108,95,13,NA
JP-36,徳島県,0,0,53,79,12,NA
JP-37,香川県,0,0,21,57,7,NA
JP-38,愛媛県,0,0,154,104,11,NA
JP-39,高知県,0,0,79,54,16,NA
JP-40,福岡県,0,4,216,440,36,NA
JP-41,佐賀県,0,0,79,242,13,NA
JP-42,長崎県,0,0,72,107,16,NA
JP-43,熊本県,0,0,98,131,25,NA
JP-44,大分県,0,0,137,240,16,NA
JP-45,宮崎県,0,0,83,86,11,NA
JP-46,鹿児島県,0,0,126,146,25,NA
JP-47,沖縄県,0,29,76,531,21,NA
