ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈
JP-01,北海道,0,0,563,2422,95,NA
JP-02,青森県,0,0,529,712,25,NA
JP-03,岩手県,0,0,638,41057,27,※1
JP-04,宮城県,0,0,1028,112689,35,※1
JP-05,秋田県,0,0,490,821,20,NA
JP-06,山形県,0,0,610,10511,34,NA
JP-07,福島県,0,0,NA,99139,48,※1
JP-08,茨城県,0,0,604,5255,42,NA
JP-09,栃木県,0,0,858,2082,25,NA
JP-10,群馬県,0,0,207,1643,29,NA
JP-11,埼玉県,171,0,0,4052,56,NA
JP-12,千葉県,0,NA,3914,NA,46,NA
JP-13,東京都,0,0,2219,7008,55,NA
JP-14,神奈川県,0,0,0,2879,25,※1
JP-15,新潟県,0,0,363,5890,29,※1
JP-16,富山県,0,0,76,255,10,NA
JP-17,石川県,0,0,110,360,11,NA
JP-18,福井県,0,0,66,262,16,NA
JP-19,山梨県,0,0,242,596,21,NA
JP-20,長野県,0,0,137,1249,45,NA
JP-21,岐阜県,0,0,140,204,28,NA
JP-22,静岡県,0,0,348,905,32,NA
JP-23,愛知県,0,0,215,1027,46,NA
JP-24,三重県,0,0,101,408,18,NA
JP-25,滋賀県,0,0,237,124,15,NA
JP-26,京都府,0,NA,263,739,18,NA
JP-27,大阪府,0,0,297,896,31,NA
JP-28,兵庫県,0,0,343,712,28,NA
JP-29,奈良県,0,0,87,100,18,NA
JP-30,和歌山県,0,0,38,88,14,NA
JP-31,鳥取県,0,0,57,148,14,NA
JP-32,島根県,0,0,22,114,12,NA
JP-33,岡山県,0,0,244,602,19,NA
JP-34,広島県,0,0,203,370,16,NA
JP-35,山口県,0,0,51,117,13,NA
JP-36,徳島県,0,0,37,54,12,NA
JP-37,香川県,0,0,13,89,9,NA
JP-38,愛媛県,0,0,145,53,12,NA
JP-39,高知県,0,0,75,73,15,NA
JP-40,福岡県,0,0,167,589,37,NA
JP-41,佐賀県,0,0,39,240,10,NA
JP-42,長崎県,0,0,46,105,12,NA
JP-43,熊本県,0,0,105,215,23,NA
JP-44,大分県,0,0,79,279,16,NA
JP-45,宮崎県,0,0,77,171,10,NA
JP-46,鹿児島県,0,0,95,177,27,NA
JP-47,沖縄県,0,0,69,959,28,NA
